paper_id,reviewer,Human_Actionability,Human_Clarity_and_Readability,Human_Comprehensiveness,Human_Constructiveness,Human_Factuality,Human_Fairness,Human_Objectivity,Human_Overall_Quality,Human_Politeness,Human_Relevance_Alignment,Human_Sentiment_Polarity,Human_Usage_of_Technical_Terms,Human_Vagueness,Qwen_Actionability,Qwen_Clarity_and_Readability,Qwen_Comprehensiveness,Qwen_Constructiveness,Qwen_Factuality,Qwen_Fairness,Qwen_Objectivity,Qwen_Overall_Quality,Qwen_Politeness,Qwen_Relevance_Alignment,Qwen_Sentiment_Polarity,Qwen_Usage_of_Technical_Terms,Qwen_Vagueness,Llama_Actionability,Llama_Clarity_and_Readability,Llama_Comprehensiveness,Llama_Constructiveness,Llama_Factuality,Llama_Fairness,Llama_Objectivity,Llama_Overall_Quality,Llama_Politeness,Llama_Relevance_Alignment,Llama_Sentiment_Polarity,Llama_Usage_of_Technical_Terms,Llama_Vagueness,GPT_Actionability,GPT_Clarity_and_Readability,GPT_Comprehensiveness,GPT_Constructiveness,GPT_Factuality,GPT_Fairness,GPT_Objectivity,GPT_Overall_Quality,GPT_Politeness,GPT_Relevance_Alignment,GPT_Sentiment_Polarity,GPT_Usage_of_Technical_Terms,GPT_Vagueness,Phi_Actionability,Phi_Clarity_and_Readability,Phi_Comprehensiveness,Phi_Constructiveness,Phi_Factuality,Phi_Fairness,Phi_Objectivity,Phi_Overall_Quality,Phi_Politeness,Phi_Relevance_Alignment,Phi_Sentiment_Polarity,Phi_Usage_of_Technical_Terms,Phi_Vagueness
194,Reviewer-cMiu,4,4,4,3,factual,4,4,80,polite,4,positive,4,low,5,5,4,5,partially factual,5,5,88,polite,5,positive,5,low,3.0,4.0,5.0,4.0,factual,5.0,5.0,80.0,polite,5.0,positive,4.0,none,4,4,4,4,factual,4,4,85,polite,5,positive,4,low,3,4,4,4,factual,4,4,85,polite,5,positive,5,low
194,Reviewer-ky3t,3,4,2,3,factual,3,3,70,polite,4,neutral,3,low,2,4,3,2,5,5,4,65,neutral,5,positive,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,5.0,80.0,polite,4.0,positive,3.0,none,1,3,3,1,partially factual,3,3,50,polite,4,positive,4,moderate,2,4,3,3,partially factual,3,3,70,polite,4,positive,4,low
38,Reviewer-vqBu,3,4,3,2,unfactual,2,2,60,polite,3,neutral,2,low,4,5,4,4,factual,5,5,85,polite,5,positive,5,none,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,5.0,none,3,4,3,4,factual,4,4,75,polite,5,positive,4,low,3,4,3,4,factual,3,4,78,polite,5,neutral,4,low
38,Reviewer-3sWQ,2,3,3,1,unfactual,3,3,60,neutral,3,negative,3,low,3,4,4,3,partially factual,3,4,65,neutral,5,negative,5,low,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,positive,3.0,none,2,3,3,2,factual,3,3,60,neutral,4,neutral,4,low,2,4,3,3,partially factual,3,3,70,polite,4,neutral,4,low
38,Reviewer-pTVu,3,4,3,4,unfactual,3,3,60,neutral,4,negative,3,low,5,5,4,5,5,5,5,90,5,5,5,5,1,2.0,4.0,4.0,4.0,factual,3.0,4.0,80.0,polite,5.0,positive,5.0,none,3,4,4,4,factual,4,4,80,polite,5,positive,5,low,3,4,4,4,partially factual,4,4,85,polite,5,positive,5,low
38,Reviewer-CnQu,1,4,3,1,unfactual,2,2,50,neutral,3,negative,3,moderate,4,4,4,4,factual,4,4,75,polite,5,neutral,4,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,none,3,4,4,3,factual,4,4,75,polite,5,neutral,4,low,2,4,3,3,partially factual,3,3,70,polite,4,neutral,4,low
13,Joseph-philipraj,5,5,5,5,factual,5,5,95,polite,5,positive,5,low,3,5,5,3,factual,5,5,85,polite,5,positive,5,none,3.0,5.0,5.0,4.0,factual,5.0,5.0,85.0,polite,5.0,positive,4.0,none,2,4,4,3,factual,4,4,80,polite,5,positive,4,low,3,5,4,4,factual,4,5,92,polite,5,positive,5,low
13,Muhammad-Faruk,5,5,5,5,factual,5,5,93,polite,5,neutral,5,moderate,4,4,4,4,factual,4,4,85,polite,4,neutral,4,low,3.0,5.0,5.0,4.0,factual,5.0,5.0,85.0,polite,5.0,positive,4.0,none,5,4,4,5,factual,5,5,90,polite,5,positive,5,low,4,4,4,4,factual,4,5,88,polite,5,neutral,5,low
181,Reviewer-sna7,4,4,2,3,factual,4,3,70,neutral,4,positive,2,moderate,4,4,4,4,partially factual,4,4,75,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,3.0,4.0,70.0,polite,5.0,positive,5.0,none,3,4,4,3,factual,4,4,75,polite,5,neutral,4,low,3,4,4,4,partially factual,4,3,85,polite,5,neutral,4,low
181,Reviewer-HLbG,4,4,3,4,factual,3,3,80,neutral,4,neutral,3,moderate,5,5,5,5,factual,5,5,95,polite,5,positive,5,low,3.0,4.0,5.0,4.0,factual,5.0,4.0,80.0,polite,5.0,positive,4.0,none,4,5,4,4,factual,4,4,85,polite,5,positive,5,low,3,4,4,4,factual,4,4,85,polite,5,positive,4,low
181,Reviewer-c3Sg,4,4,4,3,factual,3,3,70,neutral,3,neutral,3,high,5,5,4,5,partially factual,5,5,85,polite,5,neutral,5,low,2.0,4.0,4.0,3.0,factual,3.0,4.0,70.0,polite,4.0,neutral,5.0,low,3,4,4,3,factual,4,4,75,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
181,Reviewer-ebFz,3,4,2,3,factual,3,3,65,neutral,3,neutral,2,high,4,5,4,4,partially factual,4,4,85,polite,5,positive,5,low,3.0,5.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,5.0,none,2,4,3,3,factual,3,3,65,polite,4,positive,4,low,1,4,2,2,partially factual,3,2,45,polite,4,positive,3,low
9,Reviewer-KmBd,4,3,4,4,factual,3,4,90,neutral,3,neutral,4,none,5,5,4,5,factual,5,5,92,polite,5,neutral,5,moderate,3.0,5.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,4,5,4,4,factual,4,4,85,polite,5,positive,5,low,3,4,4,4,factual,4,4,85,polite,5,neutral,5,low
9,Reviewer-3zCE,4,4,3,4,factual,4,4,80,polite,4,positive,4,low,5,4,4,5,factual,4,4,85,polite,5,negative,5,low,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,4,4,4,4,factual,3,4,75,polite,5,negative,5,low,4,4,3,4,partially factual,3,3,70,neutral,5,negative,4,low
9,Reviewer-y5kB,4,4,4,4,factual,3,4,85,polite,5,neutral,3,low,3,4,4,3,partially factual,3,3,75,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,3.0,4.0,80.0,polite,5.0,positive,5.0,none,3,4,4,3,factual,4,4,75,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
9,Reviewer-XNx6,4,4,5,4,factual,4,4,88,neutral,4,neutral,4,low,5,4,5,5,5,5,5,90,polite,5,neutral,5,low,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,4,4,4,4,factual,4,4,85,polite,5,positive,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
81,Gatot-Soepriyanto,4,4,3,3,partially factual,4,3,70,polite,4,neutral,3,moderate,5,5,4,5,factual,5,5,90,polite,5,neutral,5,none,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,4.0,neutral,3.0,none,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
81,Toni-Šušak,4,4,5,4,factual,4,4,80,polite,4,neutral,5,low,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,60.0,polite,4.0,neutral,3.0,low,5,4,5,5,partially factual,4,4,85,polite,5,neutral,4,low,3,3,4,4,partially factual,4,4,75,polite,5,neutral,3,low
24,Silvio-Buscemi,1,3,1,2,unfactual,3,1,48,polite,3,negative,1,extreme,4,5,3,4,factual,4,4,85,polite,5,positive,5,moderate,3.0,4.0,4.0,3.0,factual,4.0,4.0,80.0,polite,4.0,positive,3.0,none,4,4,3,4,factual,4,4,80,polite,4,positive,4,low,3,4,3,4,partially factual,4,3,78,polite,5,positive,4,low
77,Houcemeddine-Turki,4,4,3,4,factual,3,4,85,polite,4,neutral,4,low,5,5,5,5,factual,5,5,95,polite,5,positive,5,none,3.0,4.0,4.0,4.0,factual,4.0,5.0,80.0,polite,4.0,neutral,3.0,none,5,4,5,5,factual,5,5,90,polite,5,positive,4,low,5,4,4,5,factual,4,4,88,polite,5,positive,3,low
67,Reviewer-um1j,5,4,3,3,factual,4,5,70,polite,4,neutral,4,low,4,4,4,4,factual,4,4,85,polite,5,positive,5,moderate,3.0,5.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,5.0,none,4,4,4,4,factual,4,4,85,polite,5,positive,5,low,3,4,4,4,factual,4,4,85,polite,5,positive,5,low
67,Reviewer-YmDt,5,5,4,4,factual,3,3,80,polite,5,negative,4,low,4,4,4,4,factual,4,4,85,polite,5,neutral,5,moderate,1.0,3.0,3.0,2.0,partially factual,3.0,2.0,60.0,polite,4.0,neutral,4.0,moderate,4,4,4,4,factual,5,5,85,polite,5,neutral,5,low,4,4,4,4,partially factual,4,3,78,neutral,5,negative,5,low
67,Reviewer-8RW7,4,4,4,4,factual,3,3,85,polite,5,negative,4,low,5,5,4,5,partially factual,5,5,85,polite,5,neutral,5,moderate,2.0,5.0,4.0,3.0,factual,4.0,4.0,80.0,polite,4.0,positive,3.0,none,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
67,Reviewer-YYfR,3,4,3,3,factual,4,4,70,polite,4,positive,4,low,4,4,4,4,partially factual,4,4,75,polite,5,neutral,4,moderate,2.0,3.0,4.0,3.0,partially factual,4.0,4.0,70.0,polite,4.0,positive,3.0,low,3,3,4,3,partially factual,4,3,70,polite,5,positive,4,moderate,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
171,Magdalena-Czlapka-Matyasik,0,4,1,0,unfactual,3,3,35,neutral,3,neutral,1,high,4,4,4,4,partially factual,4,4,85,polite,4,positive,5,moderate,3.0,4.0,4.0,4.0,factual,4.0,5.0,80.0,polite,4.0,positive,3.0,none,3,4,3,3,factual,4,4,70,polite,4,positive,3,low,3,4,4,4,factual,4,4,85,polite,5,positive,3,low
171,Wanshui-Yang,0,4,1,0,unfactual,3,3,40,impolite,3,negative,0,high,5,5,4,5,factual,5,5,92,polite,5,neutral,5,low,3.0,4.0,4.0,4.0,factual,4.0,5.0,80.0,polite,4.0,neutral,3.0,none,3,4,3,3,factual,4,4,70,polite,4,neutral,3,low,3,4,3,4,partially factual,3,4,75,polite,4,neutral,4,low
187,Reviewer-2CBB,4,4,4,4,factual,4,3,70,polite,4,neutral,4,low,3,3,4,3,partially factual,4,4,70,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,3,3,4,3,factual,4,4,75,polite,5,neutral,4,low,3,4,3,4,partially factual,3,4,75,polite,4,neutral,4,low
187,Reviewer-yUvs,3,4,4,4,factual,5,5,75,polite,3,neutral,4,low,4,4,5,4,4,5,5,88,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,3,3,4,3,factual,4,4,75,neutral,5,neutral,5,low,3,4,4,4,partially factual,4,3,75,neutral,5,negative,5,low
187,Reviewer-PMap,2,4,1,3,partially factual,2,2,30,polite,3,negative,3,moderate,3,4,3,3,partially factual,4,4,65,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,3,3,3,3,factual,3,4,65,neutral,4,neutral,4,low,2,4,3,3,partially factual,3,3,65,polite,4,neutral,4,low
103,Reviewer-NRqK,5,5,5,5,factual,5,4,94,polite,4,negative,5,none,5,5,5,5,factual,5,5,90,polite,5,negative,5,none,2.0,4.0,4.0,3.0,factual,4.0,3.0,60.0,neutral,5.0,negative,5.0,low,5,5,5,5,factual,5,5,95,polite,5,negative,5,none,3,4,4,3,partially factual,4,3,70,neutral,5,negative,5,low
103,Reviewer-36E8,3,4,4,3,factual,3,4,80,polite,4,neutral,4,moderate,4,4,3,4,partially factual,4,4,75,polite,5,positive,4,moderate,2.0,5.0,4.0,3.0,factual,3.0,4.0,80.0,polite,4.0,neutral,5.0,low,4,4,4,4,factual,4,4,80,polite,5,positive,4,low,2,4,3,3,partially factual,3,4,75,polite,4,neutral,4,low
103,Reviewer-dCJp,4,4,5,4,factual,3,4,83,polite,4,negative,5,none,3,4,4,3,partially factual,4,4,45,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,partially factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,3,3,4,3,partially factual,3,3,65,neutral,4,neutral,4,moderate,2,3,3,3,partially factual,3,3,65,polite,4,neutral,4,moderate
103,Reviewer-gKE9,4,5,5,4,factual,4,5,89,polite,4,positive,4,none,5,5,4,5,factual,5,5,85,polite,5,neutral,5,low,2.0,5.0,4.0,3.0,factual,3.0,4.0,60.0,polite,4.0,neutral,5.0,none,4,4,4,4,factual,4,4,85,polite,5,neutral,5,low,3,4,4,4,factual,4,4,85,polite,5,neutral,5,low
141,Reviewer-xxEb,3,4,2,3,partially factual,3,3,50,polite,4,neutral,3,low,3,4,4,3,factual,4,4,75,polite,5,positive,5,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,5.0,none,2,3,3,2,factual,4,3,60,polite,4,positive,4,moderate,2,4,3,3,partially factual,3,3,70,polite,4,positive,4,low
141,Reviewer-4kdr,4,4,4,4,factual,3,3,65,polite,4,neutral,3,low,4,5,4,4,factual,4,4,88,polite,5,positive,5,low,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,5.0,none,3,5,4,3,factual,4,4,80,polite,5,positive,4,low,2,4,3,3,partially factual,3,4,75,polite,4,neutral,4,low
141,Reviewer-H6rR,4,2,4,4,factual,3,4,80,polite,4,neutral,4,moderate,5,4,5,5,factual,5,5,92,polite,5,neutral,5,none,1.0,4.0,3.0,4.0,partially factual,2.0,3.0,60.0,polite,4.0,neutral,4.0,moderate,5,4,5,5,factual,4,5,90,neutral,5,negative,5,none,4,4,4,4,partially factual,4,3,85,neutral,5,negative,5,low
28,Reviewer-xyNq,3,5,3,3,factual,4,4,60,polite,4,neutral,4,moderate,4,5,3,4,factual,4,4,85,polite,5,positive,4,low,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,4.0,neutral,3.0,none,3,4,3,3,factual,4,3,70,polite,4,positive,4,low,2,4,3,3,partially factual,3,3,75,polite,4,positive,4,low
28,Reviewer-Lpfq,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,4,4,4,4,factual,4,4,85,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,partially factual,3.0,4.0,70.0,polite,4.0,neutral,3.0,low,4,4,4,4,factual,4,4,80,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
28,Reviewer-FRnw,4,4,3,3,factual,3,4,60,neutral,3,negative,4,high,4,4,4,5,5,5,5,85,5,5,neutral,5,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,none,3,4,4,3,factual,4,4,80,polite,5,positive,5,low,3,4,4,4,factual,4,4,85,polite,5,neutral,4,low
41,Reviewer-viiH,2,4,3,2,factual,4,3,60,polite,3,neutral,5,none,4,4,4,4,partially factual,4,3,75,polite,5,neutral,4,low,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,3,4,3,3,factual,4,4,70,polite,4,neutral,4,low,3,4,3,4,partially factual,4,4,78,polite,5,neutral,4,low
41,Reviewer-fj2y,5,5,5,5,factual,3,3,90,polite,5,positive,5,none,5,5,4,5,factual,5,5,95,polite,5,neutral,5,none,2.0,5.0,4.0,3.0,factual,4.0,4.0,80.0,polite,4.0,neutral,3.0,low,4,5,4,4,factual,4,4,85,polite,5,positive,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
41,Reviewer-LNh7,4,5,5,4,factual,4,4,85,polite,5,neutral,4,none,4,5,4,4,partially factual,4,4,85,polite,5,neutral,5,moderate,3.0,5.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,3,4,4,3,factual,4,4,80,polite,5,neutral,5,low,3,5,4,4,factual,4,4,85,polite,5,positive,5,low
41,Reviewer-t9VM,3,5,4,4,factual,5,5,85,polite,5,neutral,5,low,4,5,4,4,partially factual,4,5,85,polite,5,neutral,5,moderate,2.0,5.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,4,4,4,4,factual,4,4,80,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
179,Akira-Endo,4,4,5,1,factual,3,5,84,neutral,5,negative,5,none,5,4,5,5,factual,5,5,95,polite,5,neutral,5,low,1.0,4.0,3.0,2.0,partially factual,3.0,2.0,60.0,polite,4.0,neutral,4.0,moderate,5,5,5,5,factual,5,5,5,polite,5,neutral,5,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
179,Tim-C.-D.-Lucas,1,4,3,0,partially factual,4,4,80,polite,3,negative,4,moderate,5,5,4,5,partially factual,4,5,88,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,5.0,neutral,3.0,low,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
47,Jens-Foell,3,4,3,3,partially factual,3,3,65,polite,3,positive,3,moderate,4,5,5,5,factual,5,5,95,polite,5,positive,5,none,4.0,5.0,5.0,4.0,factual,5.0,5.0,90.0,polite,5.0,positive,4.0,none,4,5,4,4,factual,5,4,85,polite,5,positive,4,low,3,4,4,5,factual,4,4,92,polite,5,positive,5,low
47,Anders-Eklund,5,5,4,5,factual,4,4,90,polite,5,positive,5,low,5,5,4,5,factual,5,5,95,polite,5,positive,5,low,3.0,4.0,4.0,4.0,factual,5.0,5.0,80.0,polite,5.0,positive,4.0,none,4,4,4,5,factual,5,4,85,polite,5,positive,5,low,5,4,4,5,factual,4,4,92,polite,5,positive,5,low
47,Matthew-Wall,3,4,3,4,partially factual,3,3,75,polite,4,positive,3,low,5,5,5,5,factual,5,5,100,polite,5,positive,5,none,3.0,5.0,5.0,4.0,factual,5.0,4.0,90.0,polite,5.0,positive,4.0,none,4,4,4,5,factual,5,4,85,polite,5,positive,4,low,5,4,4,5,factual,4,4,92,polite,5,positive,5,low
33,Anil-Mukund-Limaye,4,5,5,5,factual,5,5,100,neutral,5,negative,5,none,4,4,4,4,partially factual,4,4,80,polite,4,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,60.0,polite,4.0,neutral,3.0,low,4,4,4,4,factual,4,4,80,polite,5,neutral,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,5,low
33,Torill-Sauer,5,5,5,5,factual,5,5,100,neutral,5,negative,5,none,4,4,4,4,partially factual,4,4,75,polite,5,neutral,5,low,2.0,4.0,4.0,3.0,partially factual,4.0,3.0,60.0,polite,4.0,neutral,3.0,low,4,4,4,4,factual,5,5,85,polite,5,neutral,5,low,4,4,4,4,partially factual,4,3,78,neutral,5,negative,5,low
112,Agnieszka-Lawrynowicz,5,5,5,5,factual,5,5,95,polite,5,neutral,5,none,5,5,5,5,factual,5,5,100,polite,5,positive,5,none,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,5,4,4,5,factual,4,4,85,polite,5,positive,4,low,5,4,4,5,factual,4,4,88,polite,5,positive,3,low
133,Jérôme-Euzenat,4,4,5,3,factual,4,3,80,neutral,4,positive,4,low,4,4,4,4,factual,4,4,75,polite,5,negative,5,moderate,1.0,4.0,3.0,2.0,partially factual,3.0,2.0,60.0,polite,4.0,neutral,4.0,moderate,3,4,5,3,factual,4,4,75,neutral,5,negative,4,low,3,4,4,4,partially factual,4,4,75,neutral,5,negative,3,low
191,Reviewer-1FB4,2,2,1,2,partially factual,3,2,30,polite,3,neutral,3,high,3,4,4,4,factual,4,4,75,polite,5,neutral,4,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,low,3,4,4,3,factual,4,4,80,polite,5,neutral,5,low,3,4,4,4,factual,4,4,85,polite,5,neutral,5,low
191,Reviewer-qQw6,2,2,1,2,partially factual,3,2,20,polite,3,neutral,2,high,3,4,4,4,partially factual,4,4,75,polite,4,positive,4,moderate,3.0,4.0,4.0,4.0,factual,4.0,4.0,80.0,polite,5.0,positive,3.0,none,2,4,3,2,factual,3,3,60,polite,4,positive,4,low,2,5,3,3,partially factual,3,3,75,polite,4,positive,4,low
191,Reviewer-d6Ah,4,3,3,4,partially factual,3,3,50,neutral,3,negative,3,moderate,5,5,4,5,5,5,5,85,polite,5,neutral,5,low,2.0,4.0,4.0,3.0,factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,low,4,5,4,4,factual,4,4,85,polite,5,positive,4,low,3,4,4,4,partially factual,4,4,85,polite,5,neutral,3,low
191,Reviewer-SQjv,3,3,3,3,partially factual,4,3,70,polite,4,positive,5,moderate,5,5,4,5,factual,5,5,95,polite,5,neutral,5,none,2.0,5.0,4.0,3.0,factual,4.0,4.0,80.0,polite,5.0,neutral,3.0,none,3,4,4,3,factual,4,4,80,polite,5,positive,5,low,3,5,4,4,factual,4,4,85,polite,5,neutral,5,low
191,Reviewer-BsvD,3,3,2,3,partially factual,3,3,40,neutral,3,positive,2,low,4,5,3,4,partially factual,4,4,85,polite,5,neutral,5,moderate,2.0,4.0,4.0,3.0,factual,4.0,4.0,70.0,polite,4.0,neutral,3.0,low,4,4,3,4,factual,4,4,75,polite,5,neutral,4,low,4,4,3,4,partially factual,3,4,85,polite,5,neutral,4,low
